City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Santa Maria,BR,2022-10-14 14:04:15,-29.6842,-53.8069,61.18,68,97,14.12
67,Upernavik,GL,2022-10-14 14:04:16,72.7868,-56.1549,26.67,69,100,27.31
68,Nouakchott,MR,2022-10-14 14:04:17,18.0858,-15.9785,85.93,59,8,6.93
69,Shingu,JP,2022-10-14 14:04:17,33.7333,135.9833,64.87,82,1,5.1
70,Saint-Philippe,RE,2022-10-14 13:59:46,-21.3585,55.7679,74.79,73,32,12.24
71,Tynset,NO,2022-10-14 14:04:18,62.2759,10.7824,47.82,77,31,14.09
72,Aksu,CN,2022-10-14 14:04:19,41.1231,80.2644,60.85,22,6,3.42
73,Vaini,TO,2022-10-14 13:59:46,-21.2,-175.2,75.36,94,75,10.36
74,Lompoc,US,2022-10-14 14:04:20,34.6391,-120.4579,61.79,94,100,0.0
75,Tuatapere,NZ,2022-10-14 14:04:21,-46.1333,167.6833,43.03,89,0,3.67
76,Luderitz,NA,2022-10-14 13:59:40,-26.6481,15.1594,73.42,49,98,25.81
77,Coahuayana,MX,2022-10-14 14:04:23,18.7333,-103.6833,79.23,89,86,1.05
78,Cockburn Town,TC,2022-10-14 14:04:24,21.4612,-71.1419,84.16,70,40,8.05
79,Georgetown,MY,2022-10-14 14:01:36,5.4112,100.3354,83.23,85,40,4.61
80,Kloulklubed,PW,2022-10-14 14:00:47,7.0419,134.2556,75.7,76,100,15.01
81,Chongwe,ZM,2022-10-14 14:04:26,-15.3292,28.682,90.61,15,4,11.36
82,Manicore,BR,2022-10-14 14:04:26,-5.8092,-61.3003,81.82,71,97,1.19
83,Bluff,NZ,2022-10-14 14:04:28,-46.6,168.3333,48.81,86,4,5.39
84,Takoradi,GH,2022-10-14 14:04:29,4.8845,-1.7554,80.76,77,100,12.73
85,San Patricio,US,2022-10-14 13:59:48,28.017,-97.5169,81.84,77,0,6.69
86,Warwick,US,2022-10-14 14:01:58,41.7001,-71.4162,68.38,97,100,8.05
87,Moussoro,TD,2022-10-14 14:04:31,13.6408,16.4901,99.43,9,23,17.98
88,Port Lincoln,AU,2022-10-14 14:04:31,-34.7333,135.8667,55.63,66,100,8.43
89,Abaza,RU,2022-10-14 14:04:32,52.655,90.0928,30.11,87,3,1.81
90,Urumqi,CN,2022-10-14 14:05:33,43.801,87.6005,52.75,30,0,6.71
91,Port Blair,IN,2022-10-14 14:05:33,11.6667,92.75,81.73,75,94,3.24
92,Esperance,AU,2022-10-14 14:05:34,-33.8667,121.9,53.51,82,24,8.12
93,Belle Fourche,US,2022-10-14 14:05:35,44.6714,-103.8522,59.05,41,69,18.43
94,Padang,ID,2022-10-14 14:05:36,-0.9492,100.3543,77.05,85,80,1.66
95,Panacan,PH,2022-10-14 14:05:37,9.2463,118.4082,78.73,81,100,5.61
96,Bredasdorp,ZA,2022-10-14 14:05:37,-34.5322,20.0403,58.84,81,100,13.27
97,Tasiilaq,GL,2022-10-14 14:05:38,65.6145,-37.6368,30.36,64,0,8.68
98,Khudumelapye,BW,2022-10-14 14:05:38,-23.8833,24.75,95.2,9,30,7.14
99,Isla Vista,US,2022-10-14 14:05:39,34.4133,-119.861,63.82,90,100,4.61
