City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Shellbrook,CA,53.2168,-106.4011,35.04,51,28,17.45,scattered clouds
79,Ulaanbaatar,MN,47.9077,106.8832,19.53,73,40,2.24,scattered clouds
80,Pyay,MM,18.8167,95.2167,74.89,94,74,0.34,broken clouds
81,Port Lincoln,AU,-34.7333,135.8667,51.75,78,65,0.45,broken clouds
82,Nakhon Thai,TH,17.1006,100.8374,68.05,98,100,1.07,overcast clouds
83,Vardo,NO,70.3705,31.1107,40.98,87,100,9.22,overcast clouds
84,Norman Wells,CA,65.282,-126.8329,8.64,92,100,6.91,fog
85,Manaus,BR,-3.1019,-60.025,79.29,89,75,11.5,heavy intensity rain
86,Srednekolymsk,RU,67.45,153.6833,10.36,96,96,6.69,overcast clouds
87,Narsaq,GL,60.9167,-46.05,37.62,73,7,7.25,clear sky
88,Safford,US,32.834,-109.7076,79.72,34,20,10.36,few clouds
89,Ugoofaaru,MV,5.6667,73.0,81.32,81,43,16.71,scattered clouds
90,Pelym,RU,61.0108,61.9978,40.98,92,100,4.09,overcast clouds
91,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,63,83,8.63,broken clouds
92,Alyangula,AU,-13.8483,136.4192,80.71,78,67,6.29,broken clouds
93,Tuktoyaktuk,CA,69.4541,-133.0374,25.41,79,38,11.68,scattered clouds
94,Basoko,CD,1.2391,23.616,76.91,82,46,5.77,light rain
95,Cabo San Lucas,MX,22.8909,-109.9124,83.5,61,20,17.27,few clouds
96,Nemuro,JP,43.3236,145.575,56.3,86,18,4.81,few clouds
97,Yellowknife,CA,62.456,-114.3525,26.56,63,58,8.99,broken clouds
98,Saint-Philippe,RE,-21.3585,55.7679,71.19,79,36,10.2,scattered clouds
99,Avarua,CK,-21.2078,-159.775,73.45,78,46,2.3,scattered clouds
100,Pangnirtung,CA,66.1451,-65.7125,38.43,83,100,1.43,overcast clouds
101,Qaqortoq,GL,60.7167,-46.0333,40.98,71,5,7.74,clear sky
102,Husavik,IS,66.0449,-17.3389,37.35,98,100,30.58,overcast clouds
103,Jamestown,US,42.097,-79.2353,54.05,47,100,21.85,overcast clouds
104,Yashkino,RU,55.8736,85.4265,34.79,65,100,4.14,overcast clouds
105,Vaini,TO,-21.2,-175.2,66.36,100,40,0.0,scattered clouds
106,Bengkulu,ID,-3.8004,102.2655,75.61,90,100,3.4,overcast clouds
107,Bathsheba,BB,13.2167,-59.5167,88.41,70,20,10.36,few clouds
108,Tasiilaq,GL,65.6145,-37.6368,35.76,66,0,3.2,clear sky
109,Lagoa,PT,39.05,-27.9833,67.08,63,92,21.92,overcast clouds
110,Na Wa,TH,17.4897,104.1006,68.49,69,99,2.91,overcast clouds
111,Revuca,SK,48.6835,20.1173,56.57,78,100,3.09,overcast clouds
112,Faanui,PF,-16.4833,-151.75,78.73,76,16,13.09,few clouds
113,Geraldton,AU,-28.7667,114.6,54.01,82,0,9.22,clear sky
114,Pontiac,US,42.6389,-83.2911,50.76,54,75,14.97,broken clouds
115,East London,ZA,-33.0153,27.9116,63.54,94,100,9.22,light rain
116,Vryburg,ZA,-26.9566,24.7284,80.31,18,57,8.19,broken clouds
117,Kawhia,NZ,-38.0651,174.8183,48.51,84,100,5.12,overcast clouds
118,Kita,ML,13.0349,-9.4895,85.17,55,92,2.8,overcast clouds
119,Labuan,MY,5.2767,115.2417,81.81,79,80,10.76,broken clouds
120,Saldanha,ZA,-33.0117,17.9442,63.61,78,100,16.28,overcast clouds
121,Borba,BR,-4.3878,-59.5939,77.86,85,99,2.82,moderate rain
122,Kattivakkam,IN,13.2167,80.3167,84.29,78,18,5.84,few clouds
123,Bimbo,CF,4.2567,18.4158,73.36,94,99,2.71,overcast clouds
124,Mitsamiouli,KM,-11.3847,43.2844,75.83,74,15,9.1,few clouds
125,Jalu,LY,29.0331,21.5482,77.07,40,52,17.27,broken clouds
126,Pitimbu,BR,-7.4706,-34.8086,82.99,66,71,17.27,broken clouds
127,Paamiut,GL,61.994,-49.6678,36.86,73,0,20.6,clear sky
128,Asau,RO,46.4333,26.4,47.32,72,59,1.63,broken clouds
129,Clyde River,CA,70.4692,-68.5914,30.33,93,98,14.47,overcast clouds
130,Kishtwar,IN,33.3167,75.7667,55.2,63,1,4.16,clear sky
131,Zaltan,LY,32.947,11.8665,76.15,53,0,8.5,clear sky
132,Palmas,BR,-10.2128,-48.3603,91.27,46,75,10.36,broken clouds
133,Butaritari,KI,3.0707,172.7902,80.94,74,69,19.86,broken clouds
134,Belmonte,BR,-15.8631,-38.8828,79.86,64,19,9.78,few clouds
135,Bambous Virieux,MU,-20.3428,57.7575,71.85,68,20,6.91,few clouds
