City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
244,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Pirineos
249,Almenara,BR,86.45,broken clouds,-16.1836,-40.6944,Pousada Estância
255,Fort Smith,US,84.34,clear sky,35.3859,-94.3986,Hampton Inn Fort Smith
257,Iracoubo,GF,85.42,few clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
260,Vila Velha,BR,80.55,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
261,Carmen,MX,84.24,broken clouds,18.6333,-91.8333,Hotel Lossandes
262,Sao Jose Da Coroa Grande,BR,78.82,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
263,Kalmunai,LK,79.59,moderate rain,7.4167,81.8167,VS Villa
264,Banda Aceh,ID,78.42,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
272,Mana,GF,86.85,scattered clouds,5.6592,-53.7767,LE SAMANA
282,Gwanda,ZW,80.65,scattered clouds,-20.9333,29.0,Mafax Homeways
283,Buala,SB,79.09,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
292,Guacimo,CR,85.3,scattered clouds,10.2104,-83.6807,Hotel Los Ríos
300,Lorengau,PG,81.68,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
302,Manoel Urbano,BR,81.63,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
311,Calatayud,ES,76.68,clear sky,41.3535,-1.6432,Globales Castillo de Ayud
316,Mumford,GH,78.67,light rain,5.2618,-0.759,Peace Guest House
318,Trairi,BR,86.74,clear sky,-3.2778,-39.2689,janelas do mar
322,Sorong,ID,78.28,moderate rain,-0.8833,131.25,Waigo Splash Hotel
323,Sur,OM,81.21,clear sky,22.5667,59.5289,Sur Plaza Hotel
329,Katherine,AU,84.52,broken clouds,-14.4667,132.2667,Pine Tree Motel
331,Nanakuli,US,75.15,clear sky,21.3906,-158.1547,Camp Pālehua
332,Cantagallo,CO,84.78,broken clouds,7.376,-73.9196,Apartahotel Altamira
340,Kifri,IQ,83.86,broken clouds,34.6959,44.9661,بيت نزهان الحديدي
342,Gondanglegi,ID,76.39,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
343,Arraial Do Cabo,BR,78.66,clear sky,-22.9661,-42.0278,Pousada Porto Praia
344,Caravelas,BR,81.28,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
351,Sharjah,AE,87.78,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
358,Gat,IL,75.88,clear sky,31.61,34.7642,OlusHome
363,Dicabisagan,PH,77.02,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
364,The Valley,AI,89.46,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
373,Coahuayana,MX,87.48,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
374,Teacapan,MX,84.99,scattered clouds,22.55,-105.75,Hotel los Mangos
384,Maracas,BR,77.76,overcast clouds,-13.4411,-40.4308,Pousada Vale Aprazível
386,Calvia,ES,75.67,few clouds,39.5657,2.5062,Castell Son Claret
387,Zabid,YE,86.86,clear sky,14.1951,43.3152,مغرب التريبه
391,Virginia Beach,US,76.03,clear sky,36.8529,-75.97800000000001,Hilton Virginia Beach Oceanfront
393,Sinjar,IQ,78.55,broken clouds,36.3209,41.8754,زوماني فون 1
394,Mogadishu,SO,78.12,overcast clouds,2.0371,45.3438,Hotel Juba
399,Omboue,GA,75.34,overcast clouds,-1.5746,9.2618,Hotel Olako
404,Vega De Alatorre,MX,83.55,scattered clouds,20.0333,-96.6333,Hotel D Luxe
407,Pathein,MM,75.87,overcast clouds,16.7833,94.7333,Pathein Hotel
408,Kilindoni,TZ,76.53,scattered clouds,-7.9139,39.6668,Bustani B&B
410,Kununurra,AU,82.38,overcast clouds,-15.7667,128.7333,Hotel Kununurra
414,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
415,Choix,MX,80.28,light rain,26.7092,-108.3219,Hotel Montesclaros
418,Prieska,ZA,79.03,overcast clouds,-29.6641,22.7474,Avenue GuestHouse
